          tBodyAcc-mean()-X                  LinearAccelerationXmean
          tBodyAcc-mean()-Y                  LinearAccelerationYmean
          tBodyAcc-mean()-Z                  LinearAccelerationZmean
           tBodyAcc-std()-X                   LinearAccelerationXstd
           tBodyAcc-std()-Y                   LinearAccelerationYstd
           tBodyAcc-std()-Z                   LinearAccelerationZstd
       tGravityAcc-mean()-X                             GravityXmean
       tGravityAcc-mean()-Y                             GravityYmean
       tGravityAcc-mean()-Z                             GravityZmean
        tGravityAcc-std()-X                              GravityXstd
        tGravityAcc-std()-Y                              GravityYstd
        tGravityAcc-std()-Z                              GravityZstd
      tBodyAccJerk-mean()-X                          LinearJerkXmean
      tBodyAccJerk-mean()-Y                          LinearJerkYmean
      tBodyAccJerk-mean()-Z                          LinearJerkZmean
       tBodyAccJerk-std()-X                           LinearJerkXstd
       tBodyAccJerk-std()-Y                           LinearJerkYstd
       tBodyAccJerk-std()-Z                           LinearJerkZstd
         tBodyGyro-mean()-X                     AngularVelocityXmean
         tBodyGyro-mean()-Y                     AngularVelocityYmean
         tBodyGyro-mean()-Z                     AngularVelocityZmean
          tBodyGyro-std()-X                      AngularVelocityXstd
          tBodyGyro-std()-Y                      AngularVelocityYstd
          tBodyGyro-std()-Z                      AngularVelocityZstd
     tBodyGyroJerk-mean()-X                         AngularJerkXmean
     tBodyGyroJerk-mean()-Y                         AngularJerkYmean
     tBodyGyroJerk-mean()-Z                         AngularJerkZmean
      tBodyGyroJerk-std()-X                          AngularJerkXstd
      tBodyGyroJerk-std()-Y                          AngularJerkYstd
      tBodyGyroJerk-std()-Z                          AngularJerkZstd
         tBodyAccMag-mean()          LinearAccelerationMagnitudemean
          tBodyAccMag-std()           LinearAccelerationMagnitudestd
      tGravityAccMag-mean()                     GravityMagnitudemean
       tGravityAccMag-std()                      GravityMagnitudestd
     tBodyAccJerkMag-mean()                  LinearJerkMagnitudemean
      tBodyAccJerkMag-std()                   LinearJerkMagnitudestd
        tBodyGyroMag-mean()             AngularVelocityMagnitudemean
         tBodyGyroMag-std()              AngularVelocityMagnitudestd
    tBodyGyroJerkMag-mean()                 AngularJerkMagnitudemean
     tBodyGyroJerkMag-std()                  AngularJerkMagnitudestd
          fBodyAcc-mean()-X         LinearAccelerationXFrequencymean
          fBodyAcc-mean()-Y         LinearAccelerationYFrequencymean
          fBodyAcc-mean()-Z         LinearAccelerationZFrequencymean
           fBodyAcc-std()-X          LinearAccelerationXFrequencystd
           fBodyAcc-std()-Y          LinearAccelerationYFrequencystd
           fBodyAcc-std()-Z          LinearAccelerationZFrequencystd
      fBodyAccJerk-mean()-X                 LinearJerkXFrequencymean
      fBodyAccJerk-mean()-Y                 LinearJerkYFrequencymean
      fBodyAccJerk-mean()-Z                 LinearJerkZFrequencymean
       fBodyAccJerk-std()-X                  LinearJerkXFrequencystd
       fBodyAccJerk-std()-Y                  LinearJerkYFrequencystd
       fBodyAccJerk-std()-Z                  LinearJerkZFrequencystd
         fBodyGyro-mean()-X            AngularVelocityXFrequencymean
         fBodyGyro-mean()-Y            AngularVelocityYFrequencymean
         fBodyGyro-mean()-Z            AngularVelocityZFrequencymean
          fBodyGyro-std()-X             AngularVelocityXFrequencystd
          fBodyGyro-std()-Y             AngularVelocityYFrequencystd
          fBodyGyro-std()-Z             AngularVelocityZFrequencystd
         fBodyAccMag-mean() LinearAccelerationMagnitudeFrequencymean
          fBodyAccMag-std()  LinearAccelerationMagnitudeFrequencystd
 fBodyBodyAccJerkMag-mean()         LinearJerkMagnitudeFrequencymean
  fBodyBodyAccJerkMag-std()          LinearJerkMagnitudeFrequencystd
    fBodyBodyGyroMag-mean()    AngularVelocityMagnitudeFrequencymean
     fBodyBodyGyroMag-std()     AngularVelocityMagnitudeFrequencystd
fBodyBodyGyroJerkMag-mean()        AngularJerkMagnitudeFrequencymean
 fBodyBodyGyroJerkMag-std()         AngularJerkMagnitudeFrequencystd
